place,title,time,pay,date
서울 서초구,(주)에스엠케이티앤아이 강남점,10:00~22:00,"월급2,133,360",08/05
경북 김천시,경성주막1929 김천,17:00~02:00,"시급9,000",3시간전
경북 김천시,경성주막1929 김천,17:00~02:00,"시급9,000",7시간전
경기 안성시,경성주막1929 안성공도,23:00~03:00,"시급9,000",8시간전
경북 김천시,경성주막1929 김천,17:00~02:00,"시급9,000",8시간전
경기 시흥시,경성주막1929 배곧신도시점,24:00~06:00,"시급8,600",08/18
경기 시흥시,경성주막1929 배곧신도시점,24:00~06:00,"시급8,600",08/18
대전 중구,경성주막1929 대전대흥점,20:00~02:00,"시급8,600",08/13
대전 중구,경성주막1929 대전대흥점,20:00~02:00,"시급8,600",08/13
대전 중구,경성주막1929 대전대흥점,20:00~02:00,"시급8,600",08/13
대전 중구,경성주막1929 대전대흥점,20:00~02:00,"시급8,600",08/13
서울 강서구,경성주막1929 송정역점,17:00~03:00,"월급2,100,000",08/11
서울 강서구,경성주막1929 송정역점,17:00~03:00,"월급2,100,000",08/11
경기 성남시,백채김치찌개  분당수내점,11:30~14:30,"시급9,000",6분전
경기 성남시,백채김치찌개  분당수내점,11:30~14:30,"시급9,000",6분전
경기 성남시,백채김치찌개  분당수내점,11:30~14:30,"시급9,000",6분전
경기 성남시,백채김치찌개  분당수내점,11:30~14:30,"시급9,000",6분전
서울 강서구,백채김치찌개  양천향교역점,11:30~22:00,"시급8,590",9분전
서울 강서구,백채김치찌개  양천향교역점,11:30~22:00,"시급8,590",9분전
서울 강서구,백채김치찌개  양천향교역점,11:30~22:00,"시급8,590",9분전
부산 해운대,백채김치찌개  장산역점,10:00~23:00,"시급8,590",13분전
부산 해운대,백채김치찌개  장산역점,10:00~23:00,"시급8,590",13분전
부산 해운대,백채김치찌개  장산역점,10:00~23:00,"시급8,590",14분전
부산 해운대,백채김치찌개  장산역점,10:00~23:00,"시급8,590",14분전
경기 용인시,백채김치찌개  광교상현점,10:30~23:00,"월급2,500,000",27분전
경기 용인시,백채김치찌개  광교상현점,10:30~23:00,"월급2,500,000",27분전
경기 용인시,백채김치찌개  광교상현점,10:30~23:00,"월급2,500,000",27분전
경기 용인시,백채김치찌개  광교상현점,10:30~23:00,"월급2,500,000",28분전
서울 서초구,백채김치찌개  방배역점,18:00~20:00,"시급8,600",1시간전
서울 서초구,백채김치찌개  방배역점,18:00~20:00,"시급8,600",1시간전
서울 서초구,백채김치찌개  방배역점,18:00~20:00,"시급8,600",1시간전
경기 용인시,백채김치찌개  용인명지대점,18:00~22:00,"시급8,590",1시간전
서울 강동구,백채김치찌개  암사역점,10:00~23:30,"시급9,000",1시간전
서울 강동구,백채김치찌개  암사역점,10:00~23:30,"시급9,000",1시간전
서울 마포구,백채김치찌개  합정역점,10:00~14:00,"시급8,590",1시간전
서울 마포구,백채김치찌개  합정역점,10:00~14:00,"시급8,590",1시간전
서울 마포구,백채김치찌개  합정역점,10:00~14:00,"시급8,590",1시간전
서울 강동구,백채김치찌개  암사역점,10:00~23:30,"시급9,000",3시간전
서울 마포구,백채김치찌개  합정역점,10:00~14:00,"시급8,590",4시간전
서울 서초구,백채김치찌개  방배역점,18:00~20:00,"시급8,600",4시간전
충북 진천군,백채김치찌개  충북혁신도시점,17:00~22:00,"시급9,000",5시간전
충북 진천군,백채김치찌개  충북혁신도시점,17:00~22:00,"시급9,000",5시간전
충북 진천군,백채김치찌개  충북혁신도시점,17:00~22:00,"시급9,000",5시간전
충북 진천군,백채김치찌개  충북혁신도시점,17:00~22:00,"시급9,000",5시간전
경기 수원시,백채김치찌개  곡반정동점,12:00~15:00,"시급8,590",5시간전
경기 수원시,백채김치찌개  곡반정동점,12:00~15:00,"시급8,590",5시간전
경기 수원시,백채김치찌개  곡반정동점,12:00~15:00,"시급8,590",5시간전
서울 강동구,백채김치찌개  암사역점,10:00~23:30,"시급9,000",5시간전
충남 천안시,백채김치찌개 천안성성점,11:00~22:00,"시급9,000",6시간전
충남 천안시,백채김치찌개 천안성성점,11:00~22:00,"시급9,000",6시간전
충남 천안시,백채김치찌개 천안성성점,11:00~22:00,"시급9,000",6시간전
서울 마포구,백채김치찌개  합정역점,10:00~14:00,"시급8,590",6시간전
경기 용인시,백채김치찌개  용인명지대점,18:00~22:00,"시급8,590",6시간전
광주 서구,ABC MART,11:00~21:00,"월급1,795,310",33분전
경기 화성시,ABC MART,10:30~20:00,"월급721,580",35분전
경기 오산시,ABC MART,10:30~21:00,"월급721,580",36분전
경기 오산시,ABC MART,10:30~21:00,"월급1,795,310",38분전
경기 화성시,ABC MART,10:30~22:00,"월급1,795,310",41분전
경기 화성시,ABC MART,10:30~22:00,"월급721,580",42분전
충남 당진시,ABC MART,10:30~21:00,"월급1,795,310",45분전
